agreement_title,agreement_url,agreement_info,category,subcategory,url,raw_path,markdown_path
Netflix Dubbing Agreement,https://www.sagaftra.org/sites/default/files/ReferenceOnly-NetflixDubbingAgreement.pdf,Informational / Guide PDF,Dubbing,,https://www.sagaftra.org/production-center/contract/895/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/ReferenceOnly-NetflixDubbingAgreement.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/ReferenceOnly-NetflixDubbingAgreement.md
Negotiated Dubbing Employers Agreement,https://www.sagaftra.org/sites/default/files/Negotiated%20Dubbing%20Employers%20Agreement.pdf,Informational / Guide PDF,Dubbing,,https://www.sagaftra.org/production-center/contract/895/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Negotiated%20Dubbing%20Employers%20Agreement.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Negotiated%20Dubbing%20Employers%20Agreement.md
Netflix Agreement MOA,https://www.sagaftra.org/sites/default/files/2022%20SAG-AFTRA-Netflix%20MOA%20%28FINAL%29%209.20.22.pdf,,Dubbing,,https://www.sagaftra.org/production-center/contract/895/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20SAG-AFTRA-Netflix%20MOA%20%28FINAL%29%209.20.22.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20SAG-AFTRA-Netflix%20MOA%20%28FINAL%29%209.20.22.md
2024 Tiered-Budget Independent Interactive Media Agreemen,https://www.sagaftra.org/sites/default/files/2024%20Tiered-Budget%20Independent%20Interactive%20Media%20Agreement_1.pdf,,Interactive,,https://www.sagaftra.org/production-center/contract/820/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2024%20Tiered-Budget%20Independent%20Interactive%20Media%20Agreement_1.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2024%20Tiered-Budget%20Independent%20Interactive%20Media%20Agreement_1.md
2024 Independent Interactive Localization Agreement,https://www.sagaftra.org/sites/default/files/2024%20Independent%20Interactive%20Localization%20Agreement_0.pdf,,Interactive,,https://www.sagaftra.org/production-center/contract/820/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2024%20Independent%20Interactive%20Localization%20Agreement_0.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2024%20Independent%20Interactive%20Localization%20Agreement_0.md
Interim Interactive Media Agreement,https://www.sagaftra.org/sites/default/files/Interim%20Interactive%20Media%20Agreement.pdf,,Interactive,,https://www.sagaftra.org/production-center/contract/820/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Interim%20Interactive%20Media%20Agreement.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Interim%20Interactive%20Media%20Agreement.md
2011-2014 AFTRA Interactive Media Agreement (base agreement),https://www.sagaftra.org/sites/default/files/2011%20-%202014%20AFTRA%20IMA%20and%20Sideletters%20-%20FINAL.pdf,,Interactive,,https://www.sagaftra.org/production-center/contract/820/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2011%20-%202014%20AFTRA%20IMA%20and%20Sideletters%20-%20FINAL.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2011%20-%202014%20AFTRA%20IMA%20and%20Sideletters%20-%20FINAL.md
2017 Interactive Media Memorandum of Agreement (2017 updates),https://www.sagaftra.org/sites/default/files/2017SAG-AFTRAIMAMOAwSchA_final.pdf,,Interactive,,https://www.sagaftra.org/production-center/contract/820/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2017SAG-AFTRAIMAMOAwSchA_final.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2017SAG-AFTRAIMAMOAwSchA_final.md
2020 Interactive Media Memorandum of Agreement (2020 updates),https://www.sagaftra.org/sites/default/files/2020SAG-AFTRAIMAExtension.pdf,,Interactive,,https://www.sagaftra.org/production-center/contract/820/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2020SAG-AFTRAIMAExtension.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2020SAG-AFTRAIMAExtension.md
2020 Interactive Localization Agreement,https://www.sagaftra.org/sites/default/files/2020InteractiveLocalizationAgreement.pdf,,Interactive,,https://www.sagaftra.org/production-center/contract/820/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2020InteractiveLocalizationAgreement.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2020InteractiveLocalizationAgreement.md
