category,category_url,agreement_title,agreement_url
Interactive,https://www.sagaftra.org/production-center/contract/820/getting-started,2020 Interactive Media Memorandum of Agreement (2020 updates),https://www.sagaftra.org/sites/default/files/2020SAG-AFTRAIMAExtension.pdf
Interactive,https://www.sagaftra.org/production-center/contract/820/getting-started,2020 Interactive Localization Agreement,https://www.sagaftra.org/sites/default/files/2020InteractiveLocalizationAgreement.pdf
Interactive,https://www.sagaftra.org/production-center/contract/820/getting-started,Interim Interactive Media Localization Agreement,https://www.sagaftra.org/sites/default/files/Interim%20Interactive%20Media%20Localization%20Agreement.pdf
Music Videos,https://www.sagaftra.org/production-center/contract/804/getting-started,2017 Music Video Agreement Memorandum,https://www.sagaftra.org/sites/default/files/2017%20Music%20Video%20Agreement%20MOA%20%28rev.%2005.01.18%29.pdf
Music Videos,https://www.sagaftra.org/production-center/contract/804/getting-started,2012 Music Video Agreement,https://www.sagaftra.org/sites/default/files/independent_mv_agreement_0.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,New Media Side Letter.pdf,https://www.sagaftra.org/files/nm_sideletter.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,New Media Agreement.pdf,https://www.sagaftra.org/files/new_media_agreement.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,New Media Summary.pdf,https://www.sagaftra.org/files/new_media_summary.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,New Media Rate Sheet.pdf,https://www.sagaftra.org/files/new_media_rate_sheet.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,New Media Low Budget Side Letter.pdf,https://www.sagaftra.org/files/new_media_low_budget_sideletter.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,New Media Low Budget Rate Sheet.pdf,https://www.sagaftra.org/files/new_media_low_budget_rate_sheet.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,New Media Ultra Low Budget Side Letter.pdf,https://www.sagaftra.org/files/new_media_ultra_low_budget_sideletter.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,New Media Ultra Low Budget Rate Sheet.pdf,https://www.sagaftra.org/files/new_media_ultra_low_budget_rate_sheet.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,New Media Short Project Agreement.pdf,https://www.sagaftra.org/files/new_media_short_project_agreement.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,New Media Short Project Rate Sheet.pdf,https://www.sagaftra.org/files/new_media_short_project_rate_sheet.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,New Media Micro Budget Project Agreement.pdf,https://www.sagaftra.org/files/new_media__micro_budget_project_agreement.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,New Media Micro Budget Project Rate Sheet.pdf,https://www.sagaftra.org/files/new_media_micro_budget_project_rate_sheet.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,Special New Media Agreement.pdf,https://www.sagaftra.org/files/special_new_media_agreement.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,Special New Media Rate Sheet.pdf,https://www.sagaftra.org/files/special_new_media_rate_sheet.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,Special New Media Summary.pdf,https://www.sagaftra.org/files/special_new_media_summary.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,Moderate Low Budget New Media Agreement.pdf,https://www.sagaftra.org/files/moderate_low_budget_new_media_agreement.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,Moderate Low Budget New Media Rate Sheet.pdf,https://www.sagaftra.org/files/moderate_low_budget_new_media_rate_sheet.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,Ultra Low Budget New Media Agreement.pdf,https://www.sagaftra.org/files/ultra_low_budget_new_media_agreement.pdf
New Media Contracts,https://www.sagaftra.org/production-center/contract/884/getting-started,Ultra Low Budget New Media Rate Sheet.pdf,https://www.sagaftra.org/files/ultra_low_budget_new_media_rate_sheet.pdf
Sound Recordings,https://www.sagaftra.org/production-center/contract/806/getting-started,2021-2026 Sound Recordings Code MOA,https://www.sagaftra.org/sites/default/files/2021-2026%20Sound%20Recordings%20Code%20MOA.pdf
